,street_name,city_name,total_square_meters,living_square_meters,kitchen_square_meters,rooms_count,floor,wall_type,inspected,construction_year,heating,seller,water,building_condition,floors_count,price_uah
43,улица,Киев,79.0,41.0,15.0,3.0,15,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,16,2137404
44,other,Збараж,108.0,59.0,12.3,4.0,1,кирпич,False,1980,централизованное,от посредника,other,other,1,1017812
45,улица,Киев,66.0,44.0,8.0,3.0,8,панель,True,2014.0,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,16,2417303
46,улица,Днепропетровск,78.7,32.0,9.0,2.0,10,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,10,1190840
47,улица,Одесса,44.0,32.0,9.0,1.0,16,газоблок,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,16,814249
48,проспект,Винница,61.0,40.0,9.0,3.0,6,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,1195929
49,проспект,Харьков,39.3,15.2,9.7,1.0,3,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,14,1208651
50,улица,Винница,65.0,48.0,30.0,2.0,9,кирпич,True,2010,централизованное,от посредника,централизованное (водопровод),хорошее,9,1195929
51,проспект,Одесса,55.0,24.0,16.0,1.0,5,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,1702290
52,улица,Винница,34.0,20.0,8.0,1.0,1,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,1,623410
53,бульвар,Киев,95.0,25.0,45.0,1.0,13,монолитно-каркасный,True,2012,централизованное,от посредника,централизованное (водопровод),хорошее,17,4328244
54,шоссе,Хмельницкий,63.0,32.0,14.0,2.0,5,кирпич,True,2020,без отопления,от представителя хозяина (без комиссионных),other,хорошее,10,610687
55,улица,Ирпень,61.0,34.0,12.0,2.0,6,кирпич,True,2014.0,без отопления,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,10,823500
56,улица,Винница,54.0,35.0,7.0,2.0,1,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,5,712468
57,улица,Винница,35.0,18.0,8.0,1.0,5,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,9,661578
58,улица,Одесса,45.0,19.0,12.0,1.0,19,газобетон,True,2018,индивидуальное,от посредника,централизованное (водопровод),отличное,25,1272265
59,улица,Винница,71.0,50.0,16.0,2.0,14,кирпич,True,2014.0,без отопления,от посредника,other,отличное,14,1145038
60,улица,Винница,37.3,18.0,9.0,1.0,8,монолит,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,16,608142
61,улица,Ирпень,37.46,15.9,9.3,1.0,6,кирпич,True,2014.0,без отопления,от посредника,централизованное (водопровод),отличное,10,494707
62,улица,Киев,107.0,32.0,9.0,3.0,7,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,16,3053435
63,переулок,Винница,125.0,32.0,30.0,4.0,2,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),нормальное,2,1704834
64,улица,Винница,62.0,35.0,14.0,2.0,9,кирпич,True,2008,индивидуальное,от посредника,централизованное (водопровод),хорошее,10,1475827
65,улица,Киев,47.0,17.0,14.0,1.0,8,керамзитобетон,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,22,1094147
